L_ORDERKEY,L_PARTKEY,L_SUPPKEY,L_LINENUMBER,L_QUANTITY,L_EXTENDEDPRICE,L_DISCOUNT,L_TAX,L_RETURNFLAG,L_LINESTATUS,L_SHIPDATE,L_COMMITDATE,L_RECEIPTDATE,L_SHIPINSTRUCT,L_SHIPMODE,L_COMMENT
cust_name_1_3690624,cust_name_23690624,cust_name_33690624,cust_name_43690624,cust_name_53690624,cust_name_63690624,cust_name_73690624,cust_name_83690624,cust_name_93690624,cust_name_103690624,3690624,3690624,3690624,3690624,3690624,3690624,3690624,3690624,3690624,3690624
cust_name_1_3690625,cust_name_23690625,cust_name_33690625,cust_name_43690625,cust_name_53690625,cust_name_63690625,cust_name_73690625,cust_name_83690625,cust_name_93690625,cust_name_103690625,3690625,3690625,3690625,3690625,3690625,3690625,3690625,3690625,3690625,3690625
cust_name_1_3690626,cust_name_23690626,cust_name_33690626,cust_name_43690626,cust_name_53690626,cust_name_63690626,cust_name_73690626,cust_name_83690626,cust_name_93690626,cust_name_103690626,3690626,3690626,3690626,3690626,3690626,3690626,3690626,3690626,3690626,3690626
cust_name_1_3690627,cust_name_23690627,cust_name_33690627,cust_name_43690627,cust_name_53690627,cust_name_63690627,cust_name_73690627,cust_name_83690627,cust_name_93690627,cust_name_103690627,3690627,3690627,3690627,3690627,3690627,3690627,3690627,3690627,3690627,3690627
cust_name_1_3690628,cust_name_23690628,cust_name_33690628,cust_name_43690628,cust_name_53690628,cust_name_63690628,cust_name_73690628,cust_name_83690628,cust_name_93690628,cust_name_103690628,3690628,3690628,3690628,3690628,3690628,3690628,3690628,3690628,3690628,3690628
cust_name_1_3690629,cust_name_23690629,cust_name_33690629,cust_name_43690629,cust_name_53690629,cust_name_63690629,cust_name_73690629,cust_name_83690629,cust_name_93690629,cust_name_103690629,3690629,3690629,3690629,3690629,3690629,3690629,3690629,3690629,3690629,3690629
cust_name_1_3690630,cust_name_23690630,cust_name_33690630,cust_name_43690630,cust_name_53690630,cust_name_63690630,cust_name_73690630,cust_name_83690630,cust_name_93690630,cust_name_103690630,3690630,3690630,3690630,3690630,3690630,3690630,3690630,3690630,3690630,3690630
cust_name_1_3690631,cust_name_23690631,cust_name_33690631,cust_name_43690631,cust_name_53690631,cust_name_63690631,cust_name_73690631,cust_name_83690631,cust_name_93690631,cust_name_103690631,3690631,3690631,3690631,3690631,3690631,3690631,3690631,3690631,3690631,3690631
cust_name_1_3690632,cust_name_23690632,cust_name_33690632,cust_name_43690632,cust_name_53690632,cust_name_63690632,cust_name_73690632,cust_name_83690632,cust_name_93690632,cust_name_103690632,3690632,3690632,3690632,3690632,3690632,3690632,3690632,3690632,3690632,3690632
cust_name_1_3690633,cust_name_23690633,cust_name_33690633,cust_name_43690633,cust_name_53690633,cust_name_63690633,cust_name_73690633,cust_name_83690633,cust_name_93690633,cust_name_103690633,3690633,3690633,3690633,3690633,3690633,3690633,3690633,3690633,3690633,3690633
cust_name_1_3690634,cust_name_23690634,cust_name_33690634,cust_name_43690634,cust_name_53690634,cust_name_63690634,cust_name_73690634,cust_name_83690634,cust_name_93690634,cust_name_103690634,3690634,3690634,3690634,3690634,3690634,3690634,3690634,3690634,3690634,3690634
cust_name_1_3690635,cust_name_23690635,cust_name_33690635,cust_name_43690635,cust_name_53690635,cust_name_63690635,cust_name_73690635,cust_name_83690635,cust_name_93690635,cust_name_103690635,3690635,3690635,3690635,3690635,3690635,3690635,3690635,3690635,3690635,3690635
cust_name_1_3690636,cust_name_23690636,cust_name_33690636,cust_name_43690636,cust_name_53690636,cust_name_63690636,cust_name_73690636,cust_name_83690636,cust_name_93690636,cust_name_103690636,3690636,3690636,3690636,3690636,3690636,3690636,3690636,3690636,3690636,3690636
cust_name_1_3690637,cust_name_23690637,cust_name_33690637,cust_name_43690637,cust_name_53690637,cust_name_63690637,cust_name_73690637,cust_name_83690637,cust_name_93690637,cust_name_103690637,3690637,3690637,3690637,3690637,3690637,3690637,3690637,3690637,3690637,3690637
cust_name_1_3690638,cust_name_23690638,cust_name_33690638,cust_name_43690638,cust_name_53690638,cust_name_63690638,cust_name_73690638,cust_name_83690638,cust_name_93690638,cust_name_103690638,3690638,3690638,3690638,3690638,3690638,3690638,3690638,3690638,3690638,3690638
cust_name_1_3690639,cust_name_23690639,cust_name_33690639,cust_name_43690639,cust_name_53690639,cust_name_63690639,cust_name_73690639,cust_name_83690639,cust_name_93690639,cust_name_103690639,3690639,3690639,3690639,3690639,3690639,3690639,3690639,3690639,3690639,3690639
cust_name_1_3690640,cust_name_23690640,cust_name_33690640,cust_name_43690640,cust_name_53690640,cust_name_63690640,cust_name_73690640,cust_name_83690640,cust_name_93690640,cust_name_103690640,3690640,3690640,3690640,3690640,3690640,3690640,3690640,3690640,3690640,3690640
cust_name_1_3690641,cust_name_23690641,cust_name_33690641,cust_name_43690641,cust_name_53690641,cust_name_63690641,cust_name_73690641,cust_name_83690641,cust_name_93690641,cust_name_103690641,3690641,3690641,3690641,3690641,3690641,3690641,3690641,3690641,3690641,3690641
cust_name_1_3690642,cust_name_23690642,cust_name_33690642,cust_name_43690642,cust_name_53690642,cust_name_63690642,cust_name_73690642,cust_name_83690642,cust_name_93690642,cust_name_103690642,3690642,3690642,3690642,3690642,3690642,3690642,3690642,3690642,3690642,3690642
cust_name_1_3690643,cust_name_23690643,cust_name_33690643,cust_name_43690643,cust_name_53690643,cust_name_63690643,cust_name_73690643,cust_name_83690643,cust_name_93690643,cust_name_103690643,3690643,3690643,3690643,3690643,3690643,3690643,3690643,3690643,3690643,3690643
cust_name_1_3690644,cust_name_23690644,cust_name_33690644,cust_name_43690644,cust_name_53690644,cust_name_63690644,cust_name_73690644,cust_name_83690644,cust_name_93690644,cust_name_103690644,3690644,3690644,3690644,3690644,3690644,3690644,3690644,3690644,3690644,3690644
cust_name_1_3690645,cust_name_23690645,cust_name_33690645,cust_name_43690645,cust_name_53690645,cust_name_63690645,cust_name_73690645,cust_name_83690645,cust_name_93690645,cust_name_103690645,3690645,3690645,3690645,3690645,3690645,3690645,3690645,3690645,3690645,3690645
cust_name_1_3690646,cust_name_23690646,cust_name_33690646,cust_name_43690646,cust_name_53690646,cust_name_63690646,cust_name_73690646,cust_name_83690646,cust_name_93690646,cust_name_103690646,3690646,3690646,3690646,3690646,3690646,3690646,3690646,3690646,3690646,3690646
cust_name_1_3690647,cust_name_23690647,cust_name_33690647,cust_name_43690647,cust_name_53690647,cust_name_63690647,cust_name_73690647,cust_name_83690647,cust_name_93690647,cust_name_103690647,3690647,3690647,3690647,3690647,3690647,3690647,3690647,3690647,3690647,3690647
cust_name_1_3690648,cust_name_23690648,cust_name_33690648,cust_name_43690648,cust_name_53690648,cust_name_63690648,cust_name_73690648,cust_name_83690648,cust_name_93690648,cust_name_103690648,3690648,3690648,3690648,3690648,3690648,3690648,3690648,3690648,3690648,3690648
